Source,Target,Weight
22,25,80.4002
22,27,22.4797
22,28,109.1855
22,31,0.47031
22,32,93.7421
22,35,79.3942
22,38,47.8985
22,41,10.9252
22,46,5.6916
23,22,5.4527
23,24,38.354
23,25,3.9796
23,26,30.4558
23,27,30.8627
23,29,0.35378
23,32,115.6708
23,34,3.6654
23,35,43.3974
23,38,6.0052
23,39,11.5431
23,40,0.55974
23,42,18.7925
23,46,47.9922
23,51,36.298
23,54,38.1317
24,1,1.1265
24,2,11.8294
24,3,1.0012
24,4,26.1671
24,6,23.8463
24,14,11.889
24,25,14.1311
24,27,2.8021
24,28,103.8533
24,29,0.91146
24,31,247.6126
24,32,95.0174
24,36,33.8117
24,38,21.0856
24,41,1.1798
24,47,0.01562
24,51,77.1727
24,56,0.22717
25,4,5.8955
25,6,4.414
25,7,39.4722
25,11,45.2525
25,12,30.3349
25,16,433.4519
25,19,80.704
25,21,103.4056
25,22,136.3601
25,23,45.86
25,24,30.5681
25,26,4.4723
25,27,50.9287
25,28,46.5575
25,34,0.31498
25,35,24.84
25,40,33.7542
25,47,0.34218
25,50,34.967
25,55,79.1466
26,15,265.6029
26,18,21.3156
26,30,2.6795
26,41,7.1318
26,50,84.0893
26,52,3.7848
26,54,144.3787
27,2,3.1574
27,3,8.7026
27,5,1.8652
27,6,18.5814
27,8,38.6153
27,11,2.6039
27,12,4.7744
27,14,3.0041
27,16,66.3305
27,19,80.9218
27,23,43.2677
27,24,27.2265
27,25,99.0307
27,30,0.55781
27,32,8.7795
27,33,51.9314
27,35,12.023
27,36,21.9408
27,40,112.4701
27,41,9.336
27,45,13.7571
27,46,25.9829
27,47,0.15989
27,50,17.1336
27,51,39.7415
27,54,43.3992
28,5,124.5417
28,7,32.7358
28,13,19.2425
28,21,50.7162
28,22,143.0883
28,25,14.0759
28,29,6.0263
28,32,39.6423
28,35,18.6069
28,38,65.6636
28,47,1.5028
28,50,24.7464
28,51,57.7205
28,52,8.8512
28,54,10.8906
28,55,25.1884
28,56,1.6584
29,3,0.033022
29,6,6.6096
29,11,2.5841
29,13,1.6725
29,16,3.3005
29,24,1.0789
29,28,3.8472
29,46,0.65008
29,52,0.67723
29,54,1.558
30,3,13.3449
30,5,11.7697
30,6,5.4045
30,7,5.2335
30,8,15.0008
30,9,4.0996
30,10,19.6242
30,11,5.763
30,14,2.0233
30,15,4.9191
30,17,4.6668
30,18,2.505
30,19,3.4096
30,26,7.9639
30,33,81.8319
30,35,29.223
30,36,48.3969
30,39,12.3081
30,40,119.5228
30,41,18.07
30,42,1.0707
30,44,5.1085
30,45,41.7772
30,46,3.8276
30,47,2.3614
30,48,12.8235
30,53,20.2921
30,56,7.326
31,5,72.4176
31,8,20.7161
31,21,131.4576
31,24,260.029
31,32,336.71
31,46,18.2829
32,6,28.1722
32,8,56.7262
32,21,62.8987
32,22,108.7013
32,23,62.2663
32,24,74.3259
32,27,10.3554
32,28,6.3027
32,31,26.2849
32,38,320.2186
32,46,38.3324
32,47,0.47148
32,48,1.3494
32,50,104.7099
32,54,59.8251
32,55,20.9073
33,2,3.3968
33,3,2.7037
33,6,3.0424
33,9,2.0219
33,10,10.9125
33,11,1.8358
33,12,17.3631
33,18,8.6005
33,19,43.0309
33,27,32.4883
33,30,58.961
33,34,4.5646
33,35,21.0823
33,36,36.289
33,39,4.0612
33,40,123.5508
33,41,2.5784
33,43,5.414
33,45,66.7469
33,47,2.6715
33,48,8.0016
33,50,4.099
33,53,24.4734
33,54,0.1165
33,56,13.7783
34,1,8.2562
34,5,54.0266
34,7,1.1286
34,9,1.54
34,10,7.7216
34,13,3.613
34,15,22.4779
34,33,3.3864
34,39,0.039497
