60,,Lisson Grove  St. John's Wood,51.52644828,-0.172190727,5,13,TRUE,FALSE,FALSE
61,,Great Dover Street  Borough,51.49738251,-0.089446947,31,2,TRUE,FALSE,FALSE
62,,Cotton Garden Estate  Kennington,51.4907579,-0.106323685,0,24,TRUE,FALSE,FALSE
63,,Murray Grove   Hoxton,51.53089041,-0.089782579,7,20,TRUE,FALSE,FALSE
64,,William IV Street  Strand,51.50946212,-0.124749274,20,6,TRUE,FALSE,FALSE
65,,Gower Place   Euston,51.52522753,-0.13518856,11,6,TRUE,FALSE,FALSE
66,,Holborn Circus  Holborn,51.51795029,-0.108657431,35,4,TRUE,FALSE,FALSE
67,,Hatton Garden  Holborn,51.51882555,-0.108028472,27,1,TRUE,FALSE,FALSE
68,,Theobalds Road   Holborn,51.52059681,-0.116688468,22,4,TRUE,FALSE,FALSE
69,,Euston Road  Euston,51.5262363,-0.134407652,0,24,TRUE,FALSE,FALSE
70,,Calshot Street   King's Cross,51.53136059,-0.117069978,1,23,TRUE,FALSE,FALSE
71,,Newgate Street   St. Paul's,51.5154186,-0.098850915,33,1,TRUE,FALSE,FALSE
72,,Farringdon Lane  Clerkenwell,51.52352001,-0.108340165,13,3,TRUE,FALSE,FALSE
73,,Old Street Station  St. Luke's,51.52572618,-0.088486188,23,14,TRUE,FALSE,FALSE
74,,Vauxhall Cross  Vauxhall,51.48591714,-0.124469948,3,14,TRUE,FALSE,FALSE
75,,Torrens Street  Angel,51.53219984,-0.105480698,0,19,TRUE,FALSE,FALSE
76,,Longford Street  Regent's Park,51.52559505,-0.144083893,4,17,TRUE,FALSE,FALSE
77,,Russell Square Station  Bloomsbury,51.52341837,-0.124121774,11,15,TRUE,FALSE,FALSE
78,,Sadlers Sports Centre  Finsbury,51.52486887,-0.099489485,13,4,TRUE,FALSE,FALSE
79,,Wansey Street  Walworth,51.49118143,-0.097146479,2,15,TRUE,FALSE,FALSE
80,,Webber Street   Southwark,51.50069361,-0.102091246,11,13,TRUE,FALSE,FALSE
81,,Great Titchfield Street  Fitzrovia,51.52025302,-0.141327271,18,1,TRUE,FALSE,FALSE
82,,Gloucester Road Station  South Kensington,51.49418566,-0.18267094,3,12,TRUE,FALSE,FALSE
83,,Panton Street  West End,51.50963938,-0.131510949,21,0,TRUE,FALSE,FALSE
84,,Breams Buildings  Holborn,51.51593725,-0.111778348,24,0,TRUE,FALSE,FALSE
85,,Tanner Street  Bermondsey,51.50064702,-0.078600401,17,2,TRUE,FALSE,FALSE
86,,Sancroft Street  Vauxhall,51.48947903,-0.115156562,10,14,TRUE,FALSE,FALSE
87,,Devonshire Square  Liverpool Street,51.51646835,-0.079684557,2,14,TRUE,FALSE,FALSE
88,,Bayley Street   Bloomsbury,51.51858757,-0.132053392,25,0,TRUE,FALSE,FALSE
89,,Tavistock Place  Bloomsbury,51.5262503,-0.123509611,1,18,TRUE,FALSE,FALSE
90,,Harrington Square  Camden Town,51.53301907,-0.139174593,20,7,TRUE,FALSE,FALSE
91,,Walnut Tree Walk  Vauxhall,51.49368637,-0.111014912,0,20,TRUE,FALSE,FALSE
92,,Borough Road  Elephant & Castle,51.49889832,-0.100440521,33,8,TRUE,FALSE,FALSE
93,,Cloudesley Road  Angel,51.53440868,-0.109025404,2,18,TRUE,FALSE,FALSE
94,,Bricklayers Arms  Borough,51.49506109,-0.085814489,1,27,TRUE,FALSE,FALSE
95,,Aldersgate Street  Barbican,51.5208417,-0.097340162,15,0,TRUE,FALSE,FALSE
96,,Falkirk Street  Hoxton,51.53095071,-0.078505384,7,19,TRUE,FALSE,FALSE
